year,İBBS3,city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,returned,area
2020,TRB22,Muş,410692.0,25840,13165,12675,13282,12558,207,8718
2020,TRB23,Bitlis,350663.0,23277,12108,11169,10503,12774,150,8294
2020,TRB24,Hakkari,279858.0,24571,13266,11305,10800,13771,140,7095
2020,TRC11,Gaziantep,2085795.0,311024,199331,111693,89504,221520,1308,6803
2020,TRC12,Adıyaman,631039.0,34792,16180,18612,17924,16868,149,7337
2020,TRC13,Kilis,141454.0,18356,9895,8461,8842,9514,94,1412
2020,TRC21,Şanlıurfa,2108013.0,163495,90053,73442,74261,89234,839,19242
2020,TRC22,Diyarbakır,1782256.0,215653,129813,85840,75938,139715,996,15101
2020,TRC31,Mardin,851922.0,55788,24563,31225,28023,27765,393,8780
2020,TRC32,Batman,619021.0,52317,29387,22930,21508,30809,521,4477
2020,TRC33,Şırnak,536990.0,44182,24669,19513,15887,28295,403,7078
2020,TRC34,Siirt,330374.0,22710,11026,11684,10263,12447,132,5717
2019,TR100,İstanbul,14921827.0,2243323,1442784,800539,784618,1458705,10726,5461
2019,TR211,Tekirdağ,1048506.0,129296,62444,66852,71356,57940,542,6190
2019,TR212,Edirne,408482.0,51183,24171,27012,27693,23490,388,6145
2019,TR213,Kırklareli,358941.0,31793,13018,18775,20013,11780,125,6459
2019,TR221,Balıkesir,1217757.0,133056,66213,66843,69815,63241,1020,14583
2019,TR222,Çanakkale,535060.0,56031,23604,32427,32257,23774,354,9817
2019,TR310,İzmir,4333920.0,549943,295200,254743,255192,294751,2777,11891
2019,TR321,Aydın,1100545.0,167058,83601,83457,81331,85727,822,8116
2019,TR322,Denizli,1023955.0,107162,47618,59544,60223,46939,548,12134
2019,TR323,Muğla,962878.0,138881,62485,76396,78636,60245,1140,12654
2019,TR331,Manisa,1431583.0,142702,71958,70744,76811,65891,702,13339
2019,TR332,Afyonkarahisar,718986.0,60935,24417,36518,35745,25190,311,14016
2019,TR333,Kütahya,569683.0,45623,20077,25546,27714,17909,351,11634
2019,TR334,Uşak,362193.0,39438,17736,21702,22042,17396,582,5555
2019,TR411,Bursa,3007525.0,334885,169880,165005,164631,170254,1338,10813
2019,TR412,Eskişehir,863273.0,116713,54026,62687,62901,53812,483,13960
2019,TR413,Bilecik,215947.0,21971,7600,14371,14510,7461,142,4179
2019,TR421,Kocaeli,1940551.0,198489,113986,84503,90971,107518,1353,3397
2019,TR422,Sakarya,1005485.0,98349,43846,54503,56733,41616,595,4824
2019,TR423,Düzce,385831.0,39172,20616,18556,19279,19893,119,2492
2019,TR424,Bolu,305475.0,26757,9884,16873,16265,10492,266,8313
2019,TR425,Yalova,247064.0,29691,12155,17536,18125,11566,352,798
2019,TR510,Ankara,5464164.0,736639,432454,304185,317273,419366,2841,25632
2019,TR521,Konya,2209911.0,219862,111068,108794,107723,112139,1374,40838
2019,TR522,Karaman,250348.0,26985,12291,14694,16443,10542,206,8678
2019,TR611,Antalya,2409057.0,390246,207239,183007,194833,195413,1808,20177
2019,TR612,Isparta,435922.0,44022,17377,26645,26816,17206,501,8946
2019,TR613,Burdur,266696.0,28203,12181,16022,15432,12771,184,7175
2019,TR621,Adana,2223904.0,241380,139198,102182,110396,130984,1463,13844
2019,TR622,Mersin,1810696.0,252490,143471,109019,111484,141006,1775,16010
2019,TR631,Hatay,1624417.0,157419,84768,72651,69641,87778,992,5524
2019,TR632,Kahramanmaraş,1149978.0,87198,41664,45534,45919,41279,514,14520
2019,TR633,Osmaniye,538125.0,51021,21677,29344,28646,22375,329,3320
2019,TR711,Kırıkkale,275007.0,24549,9654,14895,14286,10263,192,4791
2019,TR712,Aksaray,402095.0,36588,18398,18190,20596,15992,137,7659
2019,TR713,Niğde,358973.0,28985,11261,17724,17522,11463,247,7234
2019,TR714,Nevşehir,294434.0,32243,13586,18657,20882,11361,235,5485
2019,TR715,Kırşehir,229757.0,17150,5605,11545,12347,4803,82,6584
2019,TR721,Kayseri,1388760.0,141109,65805,75304,70603,70506,888,16970
2019,TR722,Sivas,632799.0,43949,15328,28621,28965,14984,170,28164
2019,TR723,Yozgat,411665.0,29349,10295,19054,17943,11406,183,13690
2019,TR811,Zonguldak,590611.0,47317,16789,30528,31440,15877,360,3342
2019,TR812,Karabük,239098.0,19599,6793,12806,12216,7383,135,4142
2019,TR813,Bartın,196980.0,15976,5993,9983,11303,4673,108,2330
2019,TR821,Kastamonu,372620.0,28237,11335,16902,17881,10356,219,13064
2019,TR822,Çankırı,189748.0,14235,5219,9016,8945,5290,182,7542
2019,TR823,Sinop,215773.0,14550,4422,10128,10020,4530,114,5717
2019,TR831,Samsun,1315579.0,130238,60967,69271,72241,57997,747,9725
2019,TR832,Tokat,606950.0,49150,20979,28171,30919,18231,307,10042
2019,TR833,Çorum,518749.0,41129,15101,26028,25714,15415,427,12428
2019,TR834,Amasya,333411.0,25829,8768,17061,17172,8657,105,5628
2019,TR901,Trabzon,796379.0,52131,21316,30815,31945,20186,330,4628
2019,TR902,Ordu,746699.0,50906,16927,33979,34080,16826,205,5914
2019,TR903,Giresun,442924.0,33263,12966,20297,22616,10647,352,6972
2019,TR904,Rize,341627.0,25565,10067,15498,15649,9916,144,3835
2019,TR905,Artvin,170197.0,16271,6555,9716,10581,5690,279,7393
2019,TR906,Gümüşhane,162507.0,8312,2536,5776,5607,2705,37,6668
2019,TRA11,Erzurum,757521.0,51062,23752,27310,30197,20865,278,25006
2019,TRA12,Erzincan,231414.0,19227,7825,11402,12921,6306,241,11815
2019,TRA13,Bayburt,84280.0,4969,2369,2600,3227,1742,25,3746
2019,TRA21,Ağrı,535355.0,41322,20049,21273,18813,22509,295,11099
2019,TRA22,Kars,283365.0,21271,7915,13356,14712,6559,194,10193
2019,TRA23,Iğdır,198640.0,17117,7905,9212,9129,7988,204,3664
2019,TRA24,Ardahan,97016.0,9328,4097,5231,5923,3405,57,4934
2019,TRB11,Malatya,795785.0,64035,27473,36562,35934,28101,351,12259
2019,TRB12,Elazığ,587839.0,43317,20036,23281,23310,20007,267,9383
2019,TRB13,Bingöl,279491.0,19603,9500,10103,10568,9035,83,8003
2019,TRB14,Tunceli,84425.0,12154,6157,5997,6355,5799,114,7582
2019,TRB21,Van,1132328.0,83204,43107,40097,41937,41267,775,20921
2019,TRB22,Muş,408389.0,27681,12745,14936,14516,13165,194,8718
2019,TRB23,Bitlis,347889.0,25446,13379,12067,13338,12108,194,8294
2019,TRB24,Hakkari,279908.0,26933,14132,12801,13667,13266,264,7095
2019,TRC11,Gaziantep,2051268.0,304822,191319,113503,105491,199331,1858,6803
2019,TRC12,Adıyaman,624890.0,37162,16604,20558,20982,16180,172,7337
2019,TRC13,Kilis,141186.0,18411,10452,7959,8516,9895,98,1412
2019,TRC21,Şanlıurfa,2064026.0,176238,88061,88177,86185,90053,875,19242
2019,TRC22,Diyarbakır,1755220.0,225199,127070,98129,95387,129812,1173,15101
2019,TRC31,Mardin,835964.0,60854,26519,34335,36289,24565,497,8780
2019,TRC32,Batman,607358.0,57358,31674,25684,27971,29387,840,4477
2019,TRC33,Şırnak,528701.0,46462,24224,22238,21792,24670,485,7078
2019,TRC34,Siirt,329532.0,24955,11976,12979,13930,11025,164,5717
2018,TR100,İstanbul,14635481.0,2191510,1380881,810629,748747,1442763,7991,5461
2018,TR211,Tekirdağ,1025422.0,119112,55354,63758,56669,62443,480,6190
2018,TR212,Edirne,408594.0,49969,22536,27433,25798,24171,240,6145
2018,TR213,Kırklareli,358648.0,32142,13314,18828,19124,13018,134,6459
2018,TR221,Balıkesir,1217183.0,134478,65247,69231,68266,66212,752,14583
2018,TR222,Çanakkale,534374.0,53117,22733,30384,29513,23604,236,9817
2018,TR310,İzmir,4291497.0,540161,277240,262921,244963,295198,2231,11891
2018,TR321,Aydın,1089215.0,161311,79206,82105,77710,83601,873,8116
2018,TR322,Denizli,1018240.0,109592,48624,60968,61974,47618,542,12134
2018,TR323,Muğla,950131.0,128080,56640,71440,65595,62485,658,12654
2018,TR331,Manisa,1421167.0,145556,69620,75936,73597,71959,486,13339
2018,TR332,Afyonkarahisar,716388.0,60964,24090,36874,36547,24417,278,14016
2018,TR333,Kütahya,568192.0,45825,20162,25663,25748,20077,299,11634
2018,TR334,Uşak,359437.0,35617,15116,20501,17881,17736,345,5555
2018,TR411,Bursa,2949723.0,325335,162776,162559,155452,169883,924,10813
2018,TR412,Eskişehir,852411.0,111540,53667,57873,57514,54026,315,13960
2018,TR413,Bilecik,219755.0,22557,6947,15610,14957,7600,140,4179
2018,TR421,Kocaeli,1897152.0,194426,106493,87933,80441,113985,801,3397
2018,TR422,Sakarya,989653.0,99171,41133,58038,55325,43846,507,4824
2018,TR423,Düzce,381909.0,39413,19400,20013,18797,20616,167,2492
2018,TR424,Bolu,303821.0,25167,9624,15543,15283,9884,162,8313
2018,TR425,Yalova,243677.0,27016,11542,15474,14861,12155,287,798
2018,TR510,Ankara,5365747.0,765399,432636,332763,332946,432453,2295,25632
2018,TR521,Konya,2187065.0,214114,100682,113432,103046,111068,1003,40838
2018,TR522,Karaman,248750.0,25055,10231,14824,12764,12291,89,8678
2018,TR611,Antalya,2350534.0,395081,210205,184876,187844,207237,1692,20177
2018,TR612,Isparta,434410.0,44646,18397,26249,27269,17377,338,8946
2018,TR613,Burdur,266500.0,27780,12079,15701,15599,12181,178,7175
2018,TR621,Adana,2208316.0,242187,131835,110352,102989,139198,996,13844
2018,TR622,Mersin,1792762.0,246467,136875,109592,102996,143471,1163,16010
2018,TR631,Hatay,1605852.0,155705,80598,75107,70938,84767,1015,5524
2018,TR632,Kahramanmaraş,1140139.0,86153,36338,49815,44489,41664,482,14520
2018,TR633,Osmaniye,533913.0,46277,18156,28121,24599,21678,176,3320
2018,TR711,Kırıkkale,279317.0,25637,9668,15969,15984,9653,210,4791
2018,TR712,Aksaray,398744.0,38248,18210,20038,19850,18398,239,7659
2018,TR713,Niğde,361596.0,31284,12320,18964,20023,11261,169,7234
2018,TR714,Nevşehir,291409.0,30772,11641,19131,17186,13586,169,5485
2018,TR715,Kırşehir,230939.0,17166,5822,11344,11561,5605,77,6584
2018,TR721,Kayseri,1374093.0,135364,57510,77854,69559,65805,699,16970
2018,TR722,Sivas,641170.0,46035,15710,30325,30706,15329,273,28164
2018,TR723,Yozgat,415677.0,30849,11486,19363,20553,10296,234,13690
2018,TR811,Zonguldak,594694.0,49617,18010,31607,32828,16789,330,3342
2018,TR812,Karabük,240595.0,20613,6859,13754,13820,6793,133,4142
2018,TR813,Bartın,197996.0,16645,6269,10376,10652,5993,42,2330
2018,TR821,Kastamonu,377208.0,29560,11063,18497,18225,11335,99,13064
2018,TR822,Çankırı,210958.0,13961,5448,8513,8742,5219,104,7542
2018,TR823,Sinop,217605.0,14676,4490,10186,10254,4422,159,5717
2018,TR831,Samsun,1306536.0,127216,56531,70685,66249,60967,601,9725
2018,TR832,Tokat,607135.0,48520,18710,29810,27541,20979,211,10042
2018,TR833,Çorum,523178.0,39983,14660,25323,24883,15100,282,12428
2018,TR834,Amasya,333211.0,25484,9557,15927,16716,8768,63,5628
2018,TR901,Trabzon,798147.0,55084,21087,33997,33769,21315,311,4628
2018,TR902,Ordu,764696.0,53541,19309,34232,36614,16927,206,5914
2018,TR903,Giresun,448886.0,34145,12165,21980,21179,12966,241,6972
2018,TR904,Rize,347271.0,23811,8117,15694,13744,10067,61,3835
2018,TR905,Artvin,173360.0,16107,6518,9589,9553,6554,122,7393
2018,TR906,Gümüşhane,160861.0,9331,2712,6619,6795,2536,32,6668
2018,TRA11,Erzurum,763687.0,59337,26099,33238,35584,23753,416,25006
2018,TRA12,Erzincan,232795.0,21026,8712,12314,13201,7825,219,11815
2018,TRA13,Bayburt,81714.0,5863,2202,3661,3494,2369,8,3746
2018,TRA21,Ağrı,538903.0,43560,20096,23464,23513,20047,245,11099
2018,TRA22,Kars,287392.0,22454,8370,14084,14539,7915,147,10193
2018,TRA23,Iğdır,196777.0,17943,8454,9489,10038,7905,157,3664
2018,TRA24,Ardahan,98543.0,10004,4439,5565,5907,4097,24,4934
2018,TRB11,Malatya,793202.0,63535,26107,37428,36062,27473,244,12259
2018,TRB12,Elazığ,592756.0,48325,19519,28806,28289,20036,232,9383
2018,TRB13,Bingöl,280935.0,19812,9134,10678,10312,9500,119,8003
2018,TRB14,Tunceli,88011.0,12386,5798,6588,6229,6157,108,7582
2018,TRB21,Van,1120416.0,79903,39196,40707,36796,43107,501,20921
2018,TRB22,Muş,407594.0,24138,11957,12181,11393,12745,161,8718
2018,TRB23,Bitlis,349204.0,26904,12676,14228,13525,13379,194,8294
2018,TRB24,Hakkari,285930.0,27803,14209,13594,13671,14132,146,7095
2018,TRC11,Gaziantep,2012566.0,288040,171423,116617,96719,191321,1575,6803
2018,TRC12,Adıyaman,623008.0,36289,15519,20770,19685,16604,131,7337
2018,TRC13,Kilis,141623.0,18241,10110,8131,7789,10452,64,1412
2018,TRC21,Şanlıurfa,2026597.0,164101,82072,82029,76039,88062,912,19242
2018,TRC22,Diyarbakır,1731520.0,223692,122518,101174,96621,127071,1397,15101
2018,TRC31,Mardin,826039.0,64708,24759,39949,38189,26519,563,8780
2018,TRC32,Batman,598011.0,62354,35568,26786,30680,31674,454,4477
2018,TRC33,Şırnak,523445.0,51100,25830,25270,26876,24224,340,7078
2018,TRC34,Siirt,330840.0,26118,13289,12829,14142,11976,194,5717
2017,TR100,İstanbul,14701360.0,2014392,1260971,753421,633517,1380875,7396,5461
2017,TR211,Tekirdağ,1001879.0,99850,41577,58273,44496,55354,436,6190
2017,TR212,Edirne,404492.0,45599,18816,26783,23062,22537,233,6145
2017,TR213,Kırklareli,354493.0,29393,10871,18522,16079,13314,149,6459
2017,TR221,Balıkesir,1197045.0,124121,55200,68921,58874,65247,619,14583
2017,TR222,Çanakkale,525865.0,48680,18997,29683,25947,22733,280,9817
2017,TR310,İzmir,4253602.0,488195,245722,242473,210961,277234,1912,11891
2017,TR321,Aydın,1073522.0,149776,68420,81356,70570,79206,733,8116
2017,TR322,Denizli,1010932.0,106883,49633,57250,58259,48624,468,12134
2017,TR323,Muğla,923556.0,118271,48833,69438,61632,56639,736,12654
2017,TR331,Manisa,1405864.0,133442,61652,71790,63822,69620,642,13339
2017,TR332,Afyonkarahisar,708627.0,58690,20592,38098,34597,24093,243,14016
2017,TR333,Kütahya,563769.0,39476,14440,25036,19314,20162,140,11634
2017,TR334,Uşak,356562.0,31883,12940,18943,16767,15116,271,5555
2017,TR411,Bursa,2910605.0,300965,142762,158203,138191,162774,787,10813
2017,TR412,Eskişehir,846667.0,103069,52548,50521,49402,53667,335,13960
2017,TR413,Bilecik,218514.0,21971,6737,15234,15024,6947,198,4179
2017,TR421,Kocaeli,1875332.0,175942,95516,80426,69449,106493,747,3397
2017,TR422,Sakarya,974628.0,89053,35487,53566,47920,41133,441,4824
2017,TR423,Düzce,373616.0,34317,15034,19283,14917,19400,137,2492
2017,TR424,Bolu,298260.0,24596,9269,15327,14972,9624,105,8313
2017,TR425,Yalova,238043.0,23188,9325,13863,11646,11542,192,798
2017,TR510,Ankara,5360554.0,693886,383790,310096,261250,432636,1871,25632
2017,TR521,Konya,2165192.0,200174,89577,110597,99492,100682,1116,40838
2017,TR522,Karaman,244089.0,21046,7362,13684,10815,10231,51,8678
2017,TR611,Antalya,2306973.0,347773,179612,168161,137569,210204,1247,20177
2017,TR612,Isparta,428378.0,42250,14823,27427,23853,18397,320,8946
2017,TR613,Burdur,262958.0,26092,9998,16094,14013,12079,136,7175
2017,TR621,Adana,2207079.0,237840,123504,114336,106004,131836,1193,13844
2017,TR622,Mersin,1776547.0,233871,123814,110057,96997,136874,1126,16010
2017,TR631,Hatay,1571426.0,144529,71004,73525,63931,80598,789,5524
2017,TR632,Kahramanmaraş,1120694.0,76437,29827,46610,40099,36338,516,14520
2017,TR633,Osmaniye,527174.0,40966,14047,26919,22811,18155,219,3320
2017,TR711,Kırıkkale,272262.0,24297,8261,16036,14629,9668,267,4791
