city,population,total_cases,carried_over_from,opened_inside_year,finished,carried_over_to,time_since_event,population_density
Manisa,1431583.0,142702,71958,70744,76811,65891,5,107.32311267711222
Afyonkarahisar,718986.0,60935,24417,36518,35745,25190,5,51.29751712328767
Kütahya,569683.0,45623,20077,25546,27714,17909,5,48.96707925047275
Uşak,362193.0,39438,17736,21702,22042,17396,5,65.2012601260126
Bursa,3007525.0,334885,169880,165005,164631,170254,5,278.1397392028114
Eskişehir,863273.0,116713,54026,62687,62901,53812,5,61.839040114613184
Bilecik,215947.0,21971,7600,14371,14510,7461,5,51.674324000957164
Kocaeli,1940551.0,198489,113986,84503,90971,107518,5,571.2543420665293
Sakarya,1005485.0,98349,43846,54503,56733,41616,5,208.43387230514097
Düzce,385831.0,39172,20616,18556,19279,19893,5,154.82784911717496
Bolu,305475.0,26757,9884,16873,16265,10492,5,36.74666185492602
Yalova,247064.0,29691,12155,17536,18125,11566,5,309.6040100250627
Ankara,5464164.0,736639,432454,304185,317273,419366,5,213.17743445692884
Konya,2209911.0,219862,111068,108794,107723,112139,5,54.114084920907
Karaman,250348.0,26985,12291,14694,16443,10542,5,28.84858262272413
Antalya,2409057.0,390246,207239,183007,194833,195413,5,119.39619368587996
Isparta,435922.0,44022,17377,26645,26816,17206,5,48.728146657724125
Burdur,266696.0,28203,12181,16022,15432,12771,5,37.170174216027874
Adana,2223904.0,241380,139198,102182,110396,130984,5,160.64027737648078
Mersin,1810696.0,252490,143471,109019,111484,141006,5,113.09781386633354
Hatay,1624417.0,157419,84768,72651,69641,87778,5,294.0653511947864
Kahramanmaraş,1149978.0,87198,41664,45534,45919,41279,5,79.1995867768595
Osmaniye,538125.0,51021,21677,29344,28646,22375,5,162.085843373494
Kırıkkale,275007.0,24549,9654,14895,14286,10263,5,57.40075140889167
Aksaray,402095.0,36588,18398,18190,20596,15992,5,52.49967358663011
Niğde,358973.0,28985,11261,17724,17522,11463,5,49.62303013547138
Nevşehir,294434.0,32243,13586,18657,20882,11361,5,53.67985414767548
Kırşehir,229757.0,17150,5605,11545,12347,4803,5,34.89626366950182
Kayseri,1388760.0,141109,65805,75304,70603,70506,5,81.83618149675898
Sivas,632799.0,43949,15328,28621,28965,14984,5,22.46836386876864
Yozgat,411665.0,29349,10295,19054,17943,11406,5,30.070489408327248
Zonguldak,590611.0,47317,16789,30528,31440,15877,5,176.72381807301016
Karabük,239098.0,19599,6793,12806,12216,7383,5,57.725253500724286
Bartın,196980.0,15976,5993,9983,11303,4673,5,84.54077253218884
Kastamonu,372620.0,28237,11335,16902,17881,10356,5,28.522657685241885
Çankırı,189748.0,14235,5219,9016,8945,5290,5,25.158843808008484
Sinop,215773.0,14550,4422,10128,10020,4530,5,37.74234738499213
Samsun,1315579.0,130238,60967,69271,72241,57997,5,135.27804627249358
Tokat,606950.0,49150,20979,28171,30919,18231,5,60.441147181836286
Çorum,518749.0,41129,15101,26028,25714,15415,5,41.74034438364982
Amasya,333411.0,25829,8768,17061,17172,8657,5,59.241471215351815
Trabzon,796379.0,52131,21316,30815,31945,20186,5,172.0784356093345
Ordu,746699.0,50906,16927,33979,34080,16826,5,126.25955360162327
Giresun,442924.0,33263,12966,20297,22616,10647,5,63.52897303499713
Rize,341627.0,25565,10067,15498,15649,9916,5,89.0813559322034
Artvin,170197.0,16271,6555,9716,10581,5690,5,23.021371567699173
Gümüşhane,162507.0,8312,2536,5776,5607,2705,5,24.37117576484703
Erzurum,757521.0,51062,23752,27310,30197,20865,5,30.293569543309605
Erzincan,231414.0,19227,7825,11402,12921,6306,5,19.58645789250952
Bayburt,84280.0,4969,2369,2600,3227,1742,5,22.49866524292579
Ağrı,535355.0,41322,20049,21273,18813,22509,5,48.234525632939906
Kars,283365.0,21271,7915,13356,14712,6559,5,27.799960757382518
Iğdır,198640.0,17117,7905,9212,9129,7988,5,54.213973799126634
Ardahan,97016.0,9328,4097,5231,5923,3405,5,19.66274827725983
Malatya,795785.0,64035,27473,36562,35934,28101,5,64.91434864181417
Elazığ,587839.0,43317,20036,23281,23310,20007,5,62.6493658744538
Bingöl,279491.0,19603,9500,10103,10568,9035,5,34.923278770461074
Tunceli,84425.0,12154,6157,5997,6355,5799,5,11.134924821946717
Van,1132328.0,83204,43107,40097,41937,41267,5,54.123990249032076
Muş,408389.0,27681,12745,14936,14516,13165,5,46.84434503326451
Bitlis,347889.0,25446,13379,12067,13338,12108,5,41.944658789486375
Hakkari,279908.0,26933,14132,12801,13667,13266,5,39.45144467935165
Gaziantep,2051268.0,304822,191319,113503,105491,199331,5,301.5240335146259
Adıyaman,624890.0,37162,16604,20558,20982,16180,5,85.16968788333106
Kilis,141186.0,18411,10452,7959,8516,9895,5,99.9900849858357
Şanlıurfa,2064026.0,176238,88061,88177,86185,90053,5,107.26670824238644
Diyarbakır,1755220.0,225199,127070,98129,95387,129812,5,116.23203761340308
Mardin,835964.0,60854,26519,34335,36289,24565,5,95.2123006833713
Batman,607358.0,57358,31674,25684,27971,29387,5,135.66182711637256
Şırnak,528701.0,46462,24224,22238,21792,24670,5,74.69638315908449
Siirt,329532.0,24955,11976,12979,13930,11025,5,57.640720657687595
İstanbul,14635481.0,2191510,1380881,810629,748747,1442763,6,2680.0001831166455
Tekirdağ,1025422.0,119112,55354,63758,56669,62443,6,165.6578352180937
Edirne,408594.0,49969,22536,27433,25798,24171,6,66.49210740439382
Kırklareli,358648.0,32142,13314,18828,19124,13018,6,55.52686174330392
Balıkesir,1217183.0,134478,65247,69231,68266,66212,6,83.46588493451279
Çanakkale,534374.0,53117,22733,30384,29513,23604,6,54.43353366608944
İzmir,4291497.0,540161,277240,262921,244963,295198,6,360.902951812295
Aydın,1089215.0,161311,79206,82105,77710,83601,6,134.20588960078857
Denizli,1018240.0,109592,48624,60968,61974,47618,6,83.91626833690457
Muğla,950131.0,128080,56640,71440,65595,62485,6,75.08542753279595
Manisa,1421167.0,145556,69620,75936,73597,71959,6,106.54224454606792
Afyonkarahisar,716388.0,60964,24090,36874,36547,24417,6,51.11215753424658
Kütahya,568192.0,45825,20162,25663,25748,20077,6,48.83892040570741
Uşak,359437.0,35617,15116,20501,17881,17736,6,64.7051305130513
Bursa,2949723.0,325335,162776,162559,155452,169883,6,272.7941366873208
Eskişehir,852411.0,111540,53667,57873,57514,54026,6,61.06095988538682
Bilecik,219755.0,22557,6947,15610,14957,7600,6,52.58554678152668
Kocaeli,1897152.0,194426,106493,87933,80441,113985,6,558.4786576390933
Sakarya,989653.0,99171,41133,58038,55325,43846,6,205.15194859038144
Düzce,381909.0,39413,19400,20013,18797,20616,6,153.25401284109148
Bolu,303821.0,25167,9624,15543,15283,9884,6,36.54769637916516
Yalova,243677.0,27016,11542,15474,14861,12155,6,305.359649122807
Ankara,5365747.0,765399,432636,332763,332946,432453,6,209.33781991260923
Konya,2187065.0,214114,100682,113432,103046,111068,6,53.55465497820657
Karaman,248750.0,25055,10231,14824,12764,12291,6,28.664438810785896
Antalya,2350534.0,395081,210205,184876,187844,207237,6,116.49571294047678
Isparta,434410.0,44646,18397,26249,27269,17377,6,48.55913257321708
Burdur,266500.0,27780,12079,15701,15599,12181,6,37.142857142857146
Adana,2208316.0,242187,131835,110352,102989,139198,6,159.51430222479053
Mersin,1792762.0,246467,136875,109592,102996,143471,6,111.97763897564022
Hatay,1605852.0,155705,80598,75107,70938,84767,6,290.70456191165823
Kahramanmaraş,1140139.0,86153,36338,49815,44489,41664,6,78.52196969696969
Osmaniye,533913.0,46277,18156,28121,24599,21678,6,160.8171686746988
Kırıkkale,279317.0,25637,9668,15969,15984,9653,6,58.30035483197662
Aksaray,398744.0,38248,18210,20038,19850,18398,6,52.06214910562737
Niğde,361596.0,31284,12320,18964,20023,11261,6,49.985623444843796
Nevşehir,291409.0,30772,11641,19131,17186,13586,6,53.12835004557885
Kırşehir,230939.0,17166,5822,11344,11561,5605,6,35.07578979343864
Kayseri,1374093.0,135364,57510,77854,69559,65805,6,80.97189157336476
Sivas,641170.0,46035,15710,30325,30706,15329,6,22.765587274534866
Yozgat,415677.0,30849,11486,19363,20553,10296,6,30.36355003652301
Zonguldak,594694.0,49617,18010,31607,32828,16789,6,177.94554159186117
Karabük,240595.0,20613,6859,13754,13820,6793,6,58.0866731047803
Bartın,197996.0,16645,6269,10376,10652,5993,6,84.97682403433477
Kastamonu,377208.0,29560,11063,18497,18225,11335,6,28.87385180649112
Çankırı,210958.0,13961,5448,8513,8742,5219,6,27.971095200212144
Sinop,217605.0,14676,4490,10186,10254,4422,6,38.062795172293164
